FileName;Group;Day;ShortName
GSM432030;Mock12;12h;M_12H.1
GSM432031;Mock12;12h;M_12H.2
GSM432032;Mock12;12h;M_12H.3
GSM432033;Mock24;24h;M_24H.1
GSM432034;Mock24;24h;M_24H.2
GSM432209;Mock24;24h;M_24H.3
GSM432210;Mock48a;48h;M_48H.1
GSM432211;Mock48a;48h;M_48H.2
GSM432212;Mock48b;48h;M_48H.3
GSM432213;SarsCoV12a;12h;S_12H.1
GSM432241;SarsCoV12a;12h;S_12H.2
GSM432231;SarsCoV12b;12h;S_12H.3
GSM432232;SarsCoV24a;24h;S_24H.1
GSM432233;SarsCoV24a;24h;S_24H.2
GSM432260;SarsCoV24b;24h;S_24H.3
GSM432261;SarsCoV48a;48h;S_48H.1
GSM432393;SarsCoV48a;48h;S_48H.2
GSM432394;SarsCoV48b;48h;S_48H.3
GSM432395;DOHV12a;12h;D_12H.1
GSM432396;DOHV12a;12h;D_12H.2
GSM432397;DOHV12b;12h;D_12H.3
GSM432398;DOHV24a;24h;D_24H.1
GSM432399;DOHV24a;24h;D_24H.2
GSM432400;DOHV24b;24h;D_24H.3
GSM432414;DOHV48a;48h;D_48H.1
GSM432415;DOHV48a;48h;D_48H.2
GSM432416;DOHV48b;48h;D_48H.3
